No.,name,URL,rank,
68,inno coffee shop,https://maps.app.goo.gl/VMrBi7HNK5sbLK4x5,B,
69,ひがし食堂,https://maps.app.goo.gl/Fzrby2vy74U8nJyr8,A,
70,ステーキハウス88Jr.名護店,https://maps.app.goo.gl/XMYByCpJtdSB77eVA,B,☆
71,名護曲,https://maps.app.goo.gl/Mokf3hjgJ9vaWDsP8,A,☆
72,シママースと朝ごはん,https://maps.app.goo.gl/qj1A3g9W6GDqYMB37,B,☆
73,運天食堂,https://maps.app.goo.gl/KLUunY9b6aJxJDBC6,B,☆
74,ブルーシール　名護店,https://maps.app.goo.gl/TgYJFPkhyhR5UxcU9,A,
75,タウンプラザかねひで なんぐすく桜市場,https://maps.app.goo.gl/mXwWqZ7CwYxcAr85A,Ｃ,
76,前田食堂,https://maps.app.goo.gl/WmTrUsn8m2zqKJfHA,Ｂ,☆
77,島豚七輪焼 満味,https://maps.app.goo.gl/NskK2wrFRCQVnDf66,C,☆
78,名護城公園,https://maps.app.goo.gl/Lhija6nQwgpCy6fm8,Ｃ,☆
79,名護城公園　展望台,https://maps.app.goo.gl/4qWdZksyQoYK93rE6,Ｃ,☆
80,沖縄家系ラーメン 沖名家 沖縄名護店,https://maps.app.goo.gl/Nf9zu5MqPLFvmXga8,Ｃ,☆
81,民俗資料博物館,https://maps.app.goo.gl/rFGVBsTmbrHgWpCy6,Ｃ,☆
82,おきなわさんぽ,https://maps.app.goo.gl/iBWsJguTkWi7Q95s6,Ｃ,☆
83,名護市営市場,https://maps.app.goo.gl/XhSq2pT71LQU2NP3A,C,☆
84,EGGダイビング,https://maps.app.goo.gl/dnwTTzKufZgrj6eM8,C,☆
85,名護博物館,https://maps.app.goo.gl/LoMMTDtYhtLFc36i9,C,
86,せせらぎ広場,https://maps.app.goo.gl/wQx7CHiQPKnzf3hB8,C,☆
87,轟の滝,https://maps.app.goo.gl/7UKstVMwURVTDbSg7,Ｃ,
88,羽地ダム,https://maps.app.goo.gl/6VBSdh7bQmx7ig7ZA,Ｃ,☆
89,百年古家 大家 うふやー,https://maps.app.goo.gl/t75Hpjq9T6EkEHvA9,B,
90,知名商店,https://maps.app.goo.gl/VvzWmYNh63tpCwog8,Ｃ,☆
91,名護市役所,https://maps.app.goo.gl/vHHpWJVPDCTCMnSy8,Ｃ,
92,BANJAT Bouldering,https://maps.app.goo.gl/YZtzKgiQWiYRHxu27,Ｃ,☆
93,SEALIVING CAFE,https://maps.app.goo.gl/cZEkp5Y8gmVLEFS86,Ｃ,☆
94,むちぐすい,https://maps.app.goo.gl/DMhYyQsMzePEjAN99,Ｃ,☆
95,名護曲金満神社,https://maps.app.goo.gl/H7H2tB42J2ceT8kn7,Ｃ,☆
96,名護神社,https://maps.app.goo.gl/mFpHvNJCN89pf1pY6,Ｃ,☆
97,21世紀の森ビーチ,https://maps.app.goo.gl/iCWa69YgNiMcbpsCA,Ａ,
98,パイ工房おしゃれ,https://maps.app.goo.gl/qTfu3kNaWRPL6LCn8,Ｃ,☆
99,尚風亭,https://maps.app.goo.gl/pCaNmvjYPbW2HBVu7,Ｃ,☆
100,味いちもんめ,https://maps.app.goo.gl/KbRmFpLrQWavfUff6,Ｃ,☆
,ＪＡファーマーズマーケットやんばる,https://maps.app.goo.gl/5aBH87YwrefXf2r46,Ｂ,
,白川商店,https://maps.app.goo.gl/aWiiPrV549Wkc2Uc6,Ｃ,☆
